SKU	Tên sản phẩm	Danh mục	Thương hiệu	Hình ảnh	Ghi chú	Cập nhật	price_1	unit_1	price_2	unit_2	price_3	unit_3	price_4	unit_4	price_5	unit_5
SP001	Mì Hảo Hảo tôm chua cay	Mì, miến, cháo, phở	Hảo Hảo	https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2565/77622/bhx/slide-1_202410151354441725.jpg	test	19:53:33 13/1/2026	5000	gói								
SP002	Mì 3 Miền bò hầm	Mì, miến, cháo, phở	3 Miền	https://vanmart.vn/thumbs/600x600x1/upload/product/img3345-9948.jpg		19:53:30 13/1/2026	4000	gói								
SP003	Mì 3 Miền gold	Mì, miến, cháo, phở	3 Miền	/images/no-image.jpg		19:53:28 13/1/2026	4,000	gói								
SP004	Mì 3 Miền chua cay	Mì, miến, cháo, phở	3 Miền	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9UcU9TdqWf3iAsntrW0mkUI09KIBaXi3amQ&s		19:26:16 13/1/2026	4,000	gói								
SP005	Mì Omachi xốt bò hầm	Mì, miến, cháo, phở	Omachi	https://tmtdistribution.com/vnt_upload/product/masan/mi_sot_bo_ham.jpg		19:31:23 13/1/2026	8,000	gói								
SP006	Mì Kokomi đại 90	Mì, miến, cháo, phở	Kokomi	https://minhcaumart.vn//media/com_eshop/products/resized/8936136167015-500x500.webp		07:29:54 4/1/2026	4,000	gói								
SP007	Mì lẩu thái	Mì, miến, cháo, phở	Lẩu thái	https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2565/82604/bhx/slide-1_202410151555211151.jpg		15:44:31 1/1/2026	8,000	gói								
SP008	Phở Bò Vifon 65g	Mì, miến, cháo, phở	Vifon	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7iJ60QnuX90cr9YxaRdp48-QsRgHcwsC7xA&s		15:44:43 1/1/2026	8,000	gói								
SP009	Phở phò Đệ nhất	Mì, miến, cháo, phở	Đệ nhất	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVln09SDwv-XekRpGtFDBhKInQmp2h9LZD_Q&s		15:45:51 1/1/2026	8,000	gói								
SP010	Phở Bò Cung Đình	Mì, miến, cháo, phở	Cung Đình	https://img.lazcdn.com/g/p/e8447749349eb748165923b5c0aafdfe.jpg_720x720q80.jpg		07:30:01 4/1/2026	8,000	gói								
SP011	Hủ tiếu Bò kho	Mì, miến, cháo, phở	Nhịp sống	https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2965/80160/bhx/thiet-ke-chua-co-ten-2024-12-11t130607814_202412111307287495.jpg		19:12:12 13/1/2026	9,000	gói								
